Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,Cluster
64,Audius,Ethereum,-0.14145834050121533,-0.14500095012967384,"997,315,329 AUDIO *",-0.08414327398358276,-0.44393559276792627,0.26187789385349214,-1.0993165929468502,0
65,Gnosis,Ethereum,-0.1437065832518984,-0.11365708344952659,"2,589,588 GNO *",-0.10714373764420854,0.7021994719774235,0.5943930172829855,-0.031115904862480698,1
66,FLOKI,Ethereum,-0.14390935413452263,-0.1450866990876187,"9,711,068,798,164 FLOKI *",-0.1007618641202677,-0.058107947210085664,-0.44873910379824805,-1.6190096059358736,0
67,JasmyCoin,Ethereum,-0.14403742927189175,-0.14508500935967208,"47,569,999,999 JASMY *",-0.07902927564620908,-0.0013685875692267771,-0.12158712752084311,-0.24208039528376743,0
68,Threshold,Ethereum,-0.14408077883928264,-0.14507734566567174,"8,620,909,587 T *",-0.10210104592721266,0.373111186060442,-0.15376601043337465,-0.03729047531383549,1
69,Gala,Ethereum,-0.14412821788601274,-0.1450751553659113,"6,977,205,436 GALA *",-0.02035326484699506,0.38445905798861374,-0.6552202691536592,0.29716542413454605,0
70,yearn.finance,Ethereum,-0.14494960028382403,2.2540275180319553,"32,969 YFI *",-0.09835174352389522,-0.20563028227631885,-0.0035978901748938284,0.14897573330203245,1
71,ssv.network,Ethereum,-0.14526976623957755,-0.13723518933804585,"10,000,000 SSV *",-0.09642564690364801,0.7816345754746261,1.5061280331380484,-1.0385999835085287,1
72,Astar,,-0.14533320101865604,-0.14506925274357313,"4,491,228,616 ASTR *",-0.10483812020313123,-0.13754305070728817,0.004446830553239144,-0.5683035341303428,0
73,Blur,Ethereum,-0.1454946109165098,-0.1449121311192285,"447,336,624 BLUR *",-0.06618534568244398,0.10076225978431924,-0.22616849698657082,-0.7195805101885338,0
74,MAGIC,Arbitrum,-0.14942585758471447,-0.14475698488620004,"214,110,592 MAGIC *",-0.08515372393995926,0.22558885099420883,-0.5318678846556213,-1.5562348063471005,0
75,SushiSwap,Ethereum,-0.14975299963592242,-0.14478053649652695,"230,068,736 SUSHI *",-0.0954578053179882,-0.0013685875692267771,0.30210149749415666,-0.03831957038906125,1
76,Bone ShibaSwap,Ethereum,-0.15021463917789857,-0.1447834804478178,"229,923,446 BONE *",-0.10455221005316002,0.8610696789718285,2.5492601542192816,0.6408831792599599,1
77,STEPN,BNB Smart Chain (BEP20),-0.15021329588211063,-0.1449920299572625,"733,029,261 GMT *",-0.0800547720059427,0.3617633141322702,-0.2824815420835013,-0.6753294219538248,0
78,JUST,Tron20,-0.15114823821801435,-0.14507910614854366,"8,902,080,000 JST *",-0.0967638507275192,0.07806651592797569,0.3181909389504225,0.4679952066220272,1
79,Golem,Ethereum,-0.15126472311558417,-0.145019261506703,"1,000,000,000 GLM *",-0.105200251790076,-0.9432419576074845,-0.25566580632305824,0.1829358707844835,0
80,MX TOKEN,Ethereum,-0.1513970401471571,-0.14441548653645997,"100,000,000 MX *",-0.10747951064688861,0.1801973632815217,0.446906470600549,1.4641592394405913,1
81,Ocean Protocol,Ethereum,-0.15174316903249052,-0.14497810506765674,"613,099,141 OCEAN *",-0.0900716157777406,0.7589388316182825,0.9590870236250107,0.1644121594304193,1
